ability_id,code,support,risk_weight,categories,observed_entity_tags,name
1641293189,absolutepurity,unresolved,0.7000,immunity,13,Непорочность.
1889185700,accuracy,exact_search,0.0000,offense,0,Меткость.
4144301207,acid_breath,modeled_collateral,0.3800,offense|targeting,169,Кислотное дыхание.
2797248136,acidblood,reference_only,0.4500,identity,0,Кислотная кровь
3014145002,advancedrepair,unresolved,0.6200,offense,5,Эксперт починки.
1991142818,agilesteed,exact_search,0.0000,offense,27,Норовистый скакун.
3146823992,agility,learned_damage,0.3000,ranged|defense,68,Ловкость.
3248709623,aimedshot,unresolved,0.7500,ranged|offense|targeting,8,Прицельный выстрел.
1532340742,alive,identity,0.0000,identity,10460,alive
3477036370,allaroundslash,learned_damage,0.7500,movement|ranged|offense|retaliation|targeting,41,Бойня.
4175406173,allslash,learned_damage,0.7500,offense|targeting,26,Круговой удар.
412596046,amorale,unresolved,0.7500,control,13,Аморальность.
3360073780,amphibian,identity,0.0000,movement|immunity|casting,536,Амфибия.
2450932601,arachnidjump,unresolved,0.7500,movement|ranged|offense|retaliation,5,Прыжок арахнида.
1529988549,armordamage,reference_only,0.6200,offense|defense,0,Повреждение доспехов
4087910980,armordamage10,unresolved,0.4500,identity,13,armordamage10
1706033535,armordamage20,learned_damage,0.2500,identity,12,armordamage20
1622145440,armordamage25,unresolved,0.4500,identity,6,armordamage25
3799163979,armorpiercing,exact_search,0.0000,ranged|offense|defense,206,Бронебойный выстрел.
2697986656,armoured,exact_search,0.0000,defense|immunity|casting,207,Броня.
1716878860,assault,learned_damage,0.3000,offense|retaliation,152,Штурм.
4243958869,attentive,exact_search,0.0000,offense|defense|retaliation,27,Внимательный.
4139836548,auraofairvul,exact_search,0.0000,offense|casting|targeting,28,Аура уязвимости к воздуху.
778265518,auraofbravery,exact_search,0.0000,offense|targeting,45,Аура храбрости.
1424378918,auraofdarkresistance,learned_damage,0.7500,defense|targeting,7,Аура тёмного сопротивления.
1283175630,auraoffirevul,learned_damage,0.7500,offense|casting|targeting,45,Аура уязвимости к огню.
308560558,auraofperfection,unresolved,0.7500,offense|targeting,3,Аура совершенства.
321009311,auraofres,exact_search,0.0000,defense|casting|targeting,144,Аура магического сопротивления.
774192337,auraofwatervul,exact_search,0.0000,offense|casting|targeting,28,Аура уязвимости к воде.
1267294959,balefulgaze,learned_damage,0.7500,offense|casting,192,Гибельный взгляд.
