creature_id	name	sprite	is_hero	ability_codes
1	Скелеты#Skeletons	sceletonani	0	undead
2	Лучники#Bowmen	archerani	0	alive|scattershot|shooter
3	Грифоны#Griffins	griffonani	0	alive|big|flyer|iblind|uretalation
4	Крестьяне#Farmers	paesantani	0	alive
5	Зомби#Zombies	zombieani	0	enraged|undead
6	Stealth	pers_ani	1	hero|shooter
8	Каменные горгульи#Gargoyles	gargolyani	0	elemental|enraged|flyer|ilighting
10	Пехотинцы#Swordsmen	footmanani	0	alive|enraged|lshield|shieldbash
11	Привидения#Ghosts	ghostani	0	flyer|incorporeal|undead
12	Железные големы#Golems	golemani	0	islow|magicproof50|mechanical
13	13	hata2ani	1	hero|rock
14	Гоблины#Goblins	goblinani	0	alive
16	Маги#Magi	mageani	0	alive|caster|mag|magicattack|norangepenalty|shooter
17	Феи#Faeries	ppani	0	alive|flyer|noretalation|spray
18	Наездники на волках#Wolf Riders	wolfriderani	0	alive|big|doublestrike
19	Эльфийские лучники#Elven bowmen	elfani	0	alive|doubleshoot|shooter
20	Стрелки-наёмники#Mercenary archers	mercarcherani	0	alive|enraged|norangepenalty|shooter
21	Воины-наёмники#Mercenary warriors	mercfootmanani	0	alive|enraged|lshield|shieldbash|uretalation
23	Орки#Orcs	orcani	0	alive|bloodlust|nopenalty|shooter
24	Огры#Ogres	ogreani	0	alive|enraged|powerstrike
26	Друиды#Druids	dd_ani	0	alive|caster|mag|shooter
27	Степные волки#Plains wolves	swolfani	0	alive|packhunter
28	Скелеты-лучники#Skeletal bowmen	sceletonarcherani	0	shooter|undead
29	Личи#Liches	lichani	0	big|deathcloud|shooter|undead
30	Роки#Rocs	rocani	0	alive|big|carrier|flyer
31	Дриады#Sprites	spriteani	0	alive|caster|flyer|noretalation|spray
32	Старшие гремлины#Gremlin engineers	mastergremlinani	0	alive|repair|shooter
33	Хобгоблины#Hobgoblins	hobgoblinani	0	alive
34	Ополченцы#Recruits	conscriptani	0	alive|shieldbash
36	Боевые грифоны#Frenzied griffins	battlegriffinani	0	alive|big|flyer|iblind|uretalation
37	Монахи#Monks	priestani	0	alive|nopenalty|shooter
38	Единороги#Unicorns	unicornani	0	alive|auraofres|big
40	Чумные зомби#Infected zombies	plaguezombieani	0	enraged|undead|weakeningstrike
41	Танцующие со смертью#Elite forest keepers	bladedancerani	0	alive|dancecombo
42	Арбалетчики#Crossbowmen	marksmanani	0	alive|preciseshot|shooter
43	Налётчики на волках#Wolf Raiders	hobwolfriderani	0	alive|big|triplestrike
44	Обсидиановые горгульи#Enchanted gargoyles	obsgargolyani	0	elemental|enraged|flyer|icold|ifire|ilighting
45	Гигантские ящеры#Giant lizards	lizardani	0	alive|big
