action_type,role,ability_code,samples,log_coefficient,multiplier
MELEE_ATTACK,actor,acid_breath,145,0.020669262,1.020884351
MELEE_ATTACK,actor,agility,60,0.006236851,1.006256340
MELEE_ATTACK,actor,alive,11174,0.043662300,1.044629524
MELEE_ATTACK,actor,allslash,27,-0.026531210,0.973817651
MELEE_ATTACK,actor,amphibian,501,-0.005847949,0.994169117
MELEE_ATTACK,actor,armorpiercing,90,-0.006355222,0.993664930
MELEE_ATTACK,actor,armoured,285,0.058555842,1.060304194
MELEE_ATTACK,actor,assault,369,0.068829834,1.071253903
MELEE_ATTACK,actor,attentive,20,0.014628682,1.014736205
MELEE_ATTACK,actor,auraofbravery,60,0.040430562,1.041259004
MELEE_ATTACK,actor,auraofres,181,0.016912370,1.017056194
MELEE_ATTACK,actor,balefulgaze,123,-0.004403520,0.995606161
MELEE_ATTACK,actor,battledive,54,0.040842748,1.041688286
MELEE_ATTACK,actor,battlefrenzy,43,0.014943865,1.015056082
MELEE_ATTACK,actor,bearroar,40,0.011073001,1.011134534
MELEE_ATTACK,actor,berserkerrage,172,0.062401384,1.064389488
MELEE_ATTACK,actor,big,6380,0.035285731,1.035915660
MELEE_ATTACK,actor,bladeofhatred,50,-0.047519268,0.953592099
MELEE_ATTACK,actor,bladeofjudgment,34,-0.069382276,0.932969960
MELEE_ATTACK,actor,blindedbyrage,50,-0.047519268,0.953592099
MELEE_ATTACK,actor,blinding_attack,501,-0.020880483,0.979336005
MELEE_ATTACK,actor,blindingcharge,26,0.021706706,1.021944011
MELEE_ATTACK,actor,bloodfrenzy,34,-0.021106907,0.979114285
MELEE_ATTACK,actor,bloodlust,401,0.028150256,1.028550219
MELEE_ATTACK,actor,boundlesshate,29,-0.031870859,0.968631664
MELEE_ATTACK,actor,bravery,311,-0.017671362,0.982483860
MELEE_ATTACK,actor,brittle,24,0.008446214,1.008481984
MELEE_ATTACK,actor,burningfootsteps,44,-0.004527319,0.995482914
MELEE_ATTACK,actor,burstofenergy,62,0.012894135,1.012977623
MELEE_ATTACK,actor,carrier,487,0.062480581,1.064473788
MELEE_ATTACK,actor,caster,1144,0.000340570,1.000340628
MELEE_ATTACK,actor,challenge,121,0.027940563,1.028334561
MELEE_ATTACK,actor,championcharge,77,-0.027037042,0.973325187
MELEE_ATTACK,actor,charge,39,-0.021428244,0.978799709
MELEE_ATTACK,actor,childofthelight,268,-0.017021271,0.983122772
MELEE_ATTACK,actor,cleansinglight,51,-0.017098202,0.983047142
MELEE_ATTACK,actor,cleave,338,0.054544051,1.056058996
MELEE_ATTACK,actor,commandingpresence,54,-0.234196742,0.791206137
MELEE_ATTACK,actor,confusionstrike,28,0.007441915,1.007469675
MELEE_ATTACK,actor,corpseeater,35,-0.007116105,0.992909155
MELEE_ATTACK,actor,cowardice,25,0.066622138,1.068891508
MELEE_ATTACK,actor,crashingleap,62,0.030599037,1.031072000
MELEE_ATTACK,actor,cripplingtraps,34,-0.007275714,0.992750690
MELEE_ATTACK,actor,cripplingwound,256,0.012149923,1.012224033
MELEE_ATTACK,actor,crushblow,52,0.021184049,1.021410024
MELEE_ATTACK,actor,cursingattack,477,-0.012644611,0.987434997
MELEE_ATTACK,actor,dancecombo,108,-0.037192112,0.963491019
MELEE_ATTACK,actor,darkattack,86,0.007411853,1.007439388
MELEE_ATTACK,actor,dash,22,-0.002498651,0.997504468
MELEE_ATTACK,actor,deadflesh,34,-0.025954928,0.974379005
MELEE_ATTACK,actor,deathattack,29,-0.017027007,0.983117133
MELEE_ATTACK,actor,deathcloud,40,-0.024240302,0.976051134
MELEE_ATTACK,actor,deathstare,420,0.059945023,1.061778171
MELEE_ATTACK,actor,deathwail,168,-0.076484011,0.926367726
MELEE_ATTACK,actor,defender,30,0.006026384,1.006044580
MELEE_ATTACK,actor,demonic,253,-0.054807405,0.946667454
MELEE_ATTACK,actor,demoniclineage,154,0.036940143,1.037630910
MELEE_ATTACK,actor,doublestrike,261,-0.013187176,0.986899394
MELEE_ATTACK,actor,dualforms,123,-0.004403520,0.995606161
MELEE_ATTACK,actor,eaterofdarkness,31,0.031150016,1.031640255
MELEE_ATTACK,actor,eateroflight,44,-0.023118238,0.977146941
MELEE_ATTACK,actor,eclipse,47,0.001523871,1.001525033
MELEE_ATTACK,actor,elemental,417,-0.005173783,0.994839578
MELEE_ATTACK,actor,endurance,33,-0.002240406,0.997762102
MELEE_ATTACK,actor,enraged,1562,0.029577692,1.030019457
MELEE_ATTACK,actor,entrenchment,22,-0.006131886,0.993886876
