action_type,creature_id,samples,multiplier,q10,q50,q90
MELEE_ATTACK,1,3,1.087564986,0.561763533,0.671550256,0.808734366
MELEE_ATTACK,2,14,0.951682445,0.544377248,0.709285547,0.975727902
MELEE_ATTACK,3,11,0.889157705,0.356056338,0.540540230,0.703257862
MELEE_ATTACK,4,25,1.066601357,0.568380421,0.991093117,1.000094117
MELEE_ATTACK,5,2,1.129707215,0.645325774,0.801692290,0.995947402
MELEE_ATTACK,8,20,1.029401300,0.712392698,0.906374550,1.000789816
MELEE_ATTACK,10,13,1.068450066,0.529976305,0.930226824,1.253764047
MELEE_ATTACK,11,6,0.993261579,0.499327906,0.576859460,0.756244904
MELEE_ATTACK,14,10,1.147691768,0.848252464,1.105992945,1.509755217
MELEE_ATTACK,16,1,1.119787153,0.472727273,0.472727273,0.472727273
MELEE_ATTACK,17,36,0.964182820,0.571740230,0.866279611,1.138497009
MELEE_ATTACK,18,13,1.260844247,0.397707329,1.416193340,1.753791455
MELEE_ATTACK,20,14,1.062628184,0.680854988,0.927093698,1.229796065
MELEE_ATTACK,21,39,0.948750178,0.659516892,0.852381466,1.217006349
MELEE_ATTACK,23,3,1.121106049,0.675555999,0.847643405,1.027839984
MELEE_ATTACK,24,1,1.146036662,0.769014085,0.769014085,0.769014085
MELEE_ATTACK,27,14,1.058040282,0.771126199,0.917402739,1.195682204
MELEE_ATTACK,28,104,0.922837738,0.520324093,0.881796459,1.455441203
MELEE_ATTACK,29,4,1.126621234,0.832540157,0.936179194,0.959575627
MELEE_ATTACK,30,10,1.205893259,1.064050322,1.282930583,2.609697783
MELEE_ATTACK,31,289,2.112662345,0.916836121,2.200966184,3.795009712
MELEE_ATTACK,33,28,1.350900563,0.742547339,1.497797635,3.771955939
MELEE_ATTACK,34,15,0.932003849,0.370221127,0.688904494,1.110838116
MELEE_ATTACK,36,34,0.997702983,0.594000000,0.908856093,1.495893488
MELEE_ATTACK,37,5,0.961654912,0.378704911,0.440199336,0.450884529
MELEE_ATTACK,38,12,1.390402330,1.047139721,1.856115918,2.288790793
MELEE_ATTACK,40,90,1.087828894,0.680591138,1.070544643,1.839525726
MELEE_ATTACK,41,108,1.735812644,0.763273765,1.867618818,3.681459600
MELEE_ATTACK,42,12,0.889256031,0.306377280,0.563596968,1.454170924
MELEE_ATTACK,43,119,1.645188900,0.673793540,1.742405464,3.214771285
MELEE_ATTACK,44,44,1.082918439,0.636368682,1.045863126,1.377268560
MELEE_ATTACK,45,5,1.156508249,0.618979915,1.107380282,1.138389726
MELEE_ATTACK,46,1,1.147654029,0.792129630,0.792129630,0.792129630
MELEE_ATTACK,47,5,1.159319278,0.847271596,1.120903955,1.200687205
MELEE_ATTACK,49,15,1.059371568,0.829499047,0.928888889,2.094588235
MELEE_ATTACK,51,1,1.144739443,0.750939850,0.750939850,0.750939850
MELEE_ATTACK,53,420,1.546203429,0.969909038,1.566923588,3.010354404
MELEE_ATTACK,55,3,1.154226212,0.823205056,1.059625344,1.204191474
MELEE_ATTACK,56,2,1.269999411,2.759661179,2.905504113,3.059054574
MELEE_ATTACK,68,406,0.947751655,0.597357008,0.938001554,1.366872188
MELEE_ATTACK,69,5,1.126655918,0.935641117,0.971649485,1.069361411
MELEE_ATTACK,70,61,1.109532995,0.589050589,1.090662922,2.533177050
MELEE_ATTACK,71,62,1.256366737,0.736009326,1.285874528,1.627400188
MELEE_ATTACK,72,2,1.178169029,0.923238508,1.272525231,1.753956805
MELEE_ATTACK,73,44,1.708385656,1.296398537,2.029834128,3.742201245
MELEE_ATTACK,74,1,1.127889438,0.550000000,0.550000000,0.550000000
MELEE_ATTACK,75,18,1.149498691,0.886427118,1.128075621,1.432155572
MELEE_ATTACK,76,2,1.150691358,0.971719179,0.981590052,0.991561195
MELEE_ATTACK,77,2,1.098305266,0.488734195,0.587944736,0.707294509
MELEE_ATTACK,80,5,1.203904439,0.652029986,1.353671204,2.090967964
MELEE_ATTACK,81,1,1.157960203,0.955722640,0.955722640,0.955722640
MELEE_ATTACK,83,2,1.118702297,0.564433531,0.719850995,0.918062847
MELEE_ATTACK,89,5,1.215214125,1.181390128,1.418460205,2.765368115
MELEE_ATTACK,90,32,0.962974104,0.381399028,0.853021864,1.344442722
MELEE_ATTACK,91,31,1.037767930,0.615058324,0.960960961,1.118012422
MELEE_ATTACK,92,49,1.349287162,0.924429702,1.430571465,2.729075002
MELEE_ATTACK,93,10,1.282218402,1.185636557,1.542277675,2.575985341
MELEE_ATTACK,94,2,1.124010111,0.750154792,0.758324660,0.766583505
MELEE_ATTACK,100,108,1.738823675,0.917274439,1.871459041,3.392381911
MELEE_ATTACK,101,93,1.453209743,0.830088361,1.522802897,2.613550358
MELEE_ATTACK,102,4,1.068671678,0.527908009,0.681957310,0.956177064
MELEE_ATTACK,103,36,1.205553452,0.767866968,1.226278487,2.270099230
MELEE_ATTACK,105,6,1.242687280,1.068490265,1.522984988,1.642195669
MELEE_ATTACK,106,2,1.236386978,1.696608338,2.163124057,2.757917416
MELEE_ATTACK,107,1,1.156579083,0.932067932,0.932067932,0.932067932
MELEE_ATTACK,108,15,0.969169846,0.653165279,0.754716981,1.011987902
MELEE_ATTACK,117,51,1.304453144,0.749482402,1.361702128,2.278409091
MELEE_ATTACK,118,303,1.023196824,0.640082951,1.014231824,2.243460469
MELEE_ATTACK,119,30,1.549249825,1.101454833,1.869080235,3.310195894
MELEE_ATTACK,120,6,1.243840079,0.753759879,1.529116692,2.217470323
MELEE_ATTACK,121,126,1.516717097,0.730301196,1.580694323,2.758048101
MELEE_ATTACK,123,10,1.053458952,0.703541669,0.855321542,1.058721876
MELEE_ATTACK,124,2,1.181338762,1.276925343,1.310695411,1.345358575
MELEE_ATTACK,125,6,1.150348486,0.862673094,1.089904475,1.898374857
MELEE_ATTACK,126,4,1.100925816,0.638482900,0.815154113,0.908010747
MELEE_ATTACK,131,17,1.461446545,1.481801523,1.900237530,3.229314586
MELEE_ATTACK,132,15,1.125733497,0.906969286,1.070370370,1.239150552
MELEE_ATTACK,133,68,0.912269873,0.585576571,0.848077559,1.271212074
MELEE_ATTACK,145,21,1.058074178,0.507692308,0.962131837,1.320910973
MELEE_ATTACK,146,17,1.160683657,0.674538873,1.150828248,1.255353062
MELEE_ATTACK,147,169,1.747113393,0.850638472,1.832175926,3.650737818
MELEE_ATTACK,148,161,1.869594180,1.402247646,1.981868132,4.131344846
MELEE_ATTACK,149,53,1.425747044,1.136475542,1.536609524,3.231452766
MELEE_ATTACK,150,19,1.199819834,0.813061941,1.232998885,4.484815639
MELEE_ATTACK,153,25,1.079908668,0.389544319,1.013461538,1.389929455
MELEE_ATTACK,154,11,1.066195428,0.496153846,0.901704545,1.158954248
MELEE_ATTACK,155,15,1.143035210,0.856835898,1.109149593,1.714232428
MELEE_ATTACK,156,26,1.068910660,0.664118770,0.997706278,1.483815122
MELEE_ATTACK,157,1,1.136181722,0.641459627,0.641459627,0.641459627
MELEE_ATTACK,158,12,1.037204121,0.680986844,0.849575057,1.097273901
MELEE_ATTACK,159,1,1.153625154,0.883333333,0.883333333,0.883333333
MELEE_ATTACK,160,42,1.188197701,0.984684352,1.197387973,2.941879703
MELEE_ATTACK,161,3,1.135009294,0.658042993,0.931645570,0.941243314
MELEE_ATTACK,162,218,1.224305438,0.908331892,1.229496268,2.396484240
MELEE_ATTACK,163,172,1.682982011,0.948939627,1.755807448,4.410453747
MELEE_ATTACK,164,2,1.239159697,1.735013732,2.217087628,2.833105849
MELEE_ATTACK,165,13,1.177016565,0.718036676,1.189258312,2.236580132
MELEE_ATTACK,166,3,1.308018139,2.690973345,2.764568765,4.946058997
MELEE_ATTACK,167,88,2.555111825,1.248413603,3.051967854,5.072510560
MELEE_ATTACK,168,50,1.192874577,1.011750826,1.202508091,2.369671131
MELEE_ATTACK,169,85,1.265167705,0.661315837,1.288888889,2.577777778
MELEE_ATTACK,172,9,1.088070989,0.622898532,0.927500000,1.048264850
MELEE_ATTACK,198,10,1.073598039,0.705212728,0.905319105,1.119455028
MELEE_ATTACK,199,27,1.040097027,0.615241722,0.953790984,1.144085848
MELEE_ATTACK,200,47,0.573644006,0.288636364,0.423701299,0.709365946
MELEE_ATTACK,201,258,1.416093825,0.410954963,1.437288632,2.822492907
MELEE_ATTACK,202,27,1.040399899,0.392777545,0.954274510,1.133917049
MELEE_ATTACK,203,40,1.047160624,0.639170136,0.991035231,1.247906218
MELEE_ATTACK,204,5,1.117626608,0.412772674,0.933333333,1.642272350
MELEE_ATTACK,205,3,1.102994930,0.652847577,0.748144483,0.842705110
MELEE_ATTACK,207,6,1.072009571,0.637807954,0.802888305,1.061059030
MELEE_ATTACK,208,4,1.124713335,0.456235416,0.926707025,0.951669071
MELEE_ATTACK,209,30,0.844705515,0.447971166,0.680144309,1.668591641
MELEE_ATTACK,210,27,0.994117225,0.435432912,0.881600000,1.219864428
MELEE_ATTACK,211,8,1.184658324,1.163445293,1.224395094,3.110406831
MELEE_ATTACK,212,7,1.186512736,1.066680156,1.237623762,1.650384578
MELEE_ATTACK,213,9,1.156065475,0.912318428,1.127559748,1.253332647
MELEE_ATTACK,214,7,1.060927608,0.669032180,0.803864734,1.194120170
MELEE_ATTACK,217,9,1.092737705,0.572875386,0.940379288,1.079312785
MELEE_ATTACK,234,56,1.189334608,0.803793140,1.196635914,1.789003837
MELEE_ATTACK,235,216,0.985860304,0.597339855,0.970418880,1.268799041
MELEE_ATTACK,237,15,1.325038922,1.140293776,1.565733537,3.040271923
MELEE_ATTACK,238,56,1.520192423,0.756305940,1.669652173,3.760490824
MELEE_ATTACK,239,33,1.426884385,1.101184747,1.610013175,2.867087727
MELEE_ATTACK,249,52,1.099903975,0.942082215,1.074384640,2.101737315
MELEE_ATTACK,253,1,1.128838551,0.559801489,0.559801489,0.559801489
MELEE_ATTACK,254,1,1.189945607,1.693693694,1.693693694,1.693693694
MELEE_ATTACK,255,266,1.370047825,0.861105633,1.386481964,2.998985204
MELEE_ATTACK,256,17,0.945083302,0.634076678,0.735824176,0.998238113
MELEE_ATTACK,257,1,1.191106570,1.728735632,1.728735632,1.728735632
MELEE_ATTACK,258,51,1.086300806,0.821791320,1.055445326,1.614035088
MELEE_ATTACK,259,8,1.055423556,0.560733408,0.817220844,0.999977357
MELEE_ATTACK,260,47,1.381825919,0.614019869,1.483690728,2.326616033
MELEE_ATTACK,261,5,1.393458491,1.376541433,2.812051650,2.929088246
MELEE_ATTACK,268,3,1.130937894,0.788516171,0.906328530,0.935444056
MELEE_ATTACK,269,15,1.140943533,0.755454699,1.104419476,1.325278515
MELEE_ATTACK,270,76,1.397925331,0.629258393,1.465247143,3.065103518
MELEE_ATTACK,272,17,0.953405664,0.393308985,0.750000000,0.967945093
MELEE_ATTACK,273,14,0.929016096,0.353673885,0.668954892,1.086013378
MELEE_ATTACK,280,2,1.107993866,0.558024122,0.647580402,0.751509408
MELEE_ATTACK,281,3,1.114254552,0.496715657,0.808727822,1.360362122
MELEE_ATTACK,282,1,1.162602835,1.039500000,1.039500000,1.039500000
MELEE_ATTACK,285,5,1.139591396,0.864007682,1.028724115,1.202501735
MELEE_ATTACK,287,20,0.915317175,0.359711412,0.716607750,1.132577338
MELEE_ATTACK,288,2,1.095609950,0.392894070,0.572266633,0.833530266
MELEE_ATTACK,289,16,1.381495916,0.852764015,1.701999624,2.538512225
