action_type,creature_id,samples,multiplier,q10,q50,q90
MELEE_ATTACK,1,3,1.107471969,0.561763533,0.671550256,0.808734366
MELEE_ATTACK,2,14,0.963431790,0.544377248,0.709285547,0.975727902
MELEE_ATTACK,3,11,0.901204625,0.356056338,0.540540230,0.703257862
MELEE_ATTACK,4,25,1.070408874,0.568380421,0.980963303,1.000094117
MELEE_ATTACK,5,2,1.160022131,0.700957306,0.870803694,1.081804936
MELEE_ATTACK,8,20,1.055922197,0.715541217,0.933991583,1.057539522
MELEE_ATTACK,10,13,1.109195970,0.557761460,0.990631164,1.290716042
MELEE_ATTACK,11,6,1.009327757,0.499327906,0.576859460,0.756244904
MELEE_ATTACK,14,10,1.163763422,0.848252464,1.105992945,1.509755217
MELEE_ATTACK,16,1,1.142255471,0.472727273,0.472727273,0.472727273
MELEE_ATTACK,17,36,0.971392623,0.571740230,0.866279611,1.138497009
MELEE_ATTACK,18,13,1.276885154,0.397707329,1.416193340,1.753791455
MELEE_ATTACK,20,14,1.105731707,0.685230502,0.991104852,1.327013359
MELEE_ATTACK,21,39,0.978447557,0.659516892,0.883564815,1.289115688
MELEE_ATTACK,23,3,1.148265416,0.681588707,0.886172651,1.037018584
MELEE_ATTACK,24,1,1.174106889,0.842253521,0.842253521,0.842253521
MELEE_ATTACK,27,14,1.071102707,0.771126199,0.917402739,1.195682204
MELEE_ATTACK,28,104,0.977245954,0.589605780,0.940349015,1.470511653
MELEE_ATTACK,29,4,1.146376376,0.832540157,0.936179194,0.959575627
MELEE_ATTACK,30,10,1.233555756,1.115677724,1.317148070,2.609697783
MELEE_ATTACK,31,289,1.999217351,0.899855865,2.071846282,3.683965918
MELEE_ATTACK,33,28,1.334684103,0.742547339,1.445410042,3.771955939
MELEE_ATTACK,34,15,0.943179528,0.370221127,0.688904494,1.110838116
MELEE_ATTACK,36,34,1.005440820,0.594000000,0.908856093,1.495893488
MELEE_ATTACK,37,5,0.977837250,0.378704911,0.440199336,0.450884529
MELEE_ATTACK,38,12,1.408647920,1.047139721,1.856115918,2.288790793
MELEE_ATTACK,40,90,1.232507368,0.699526711,1.241284825,2.035393190
MELEE_ATTACK,41,108,1.741479396,0.763273765,1.867618818,3.681459600
MELEE_ATTACK,42,12,0.900925316,0.306377280,0.563596968,1.454170924
MELEE_ATTACK,43,119,1.650134127,0.673793540,1.742405464,3.275904853
MELEE_ATTACK,44,44,1.159165568,0.671050388,1.143769392,1.661919076
MELEE_ATTACK,45,5,1.175969500,0.618979915,1.107380282,1.138389726
MELEE_ATTACK,46,1,1.170681490,0.792129630,0.792129630,0.792129630
MELEE_ATTACK,47,5,1.178827833,0.847271596,1.120903955,1.200687205
MELEE_ATTACK,49,15,1.072074516,0.829499047,0.928888889,2.094588235
MELEE_ATTACK,51,1,1.167708423,0.750939850,0.750939850,0.750939850
MELEE_ATTACK,53,420,1.550020509,0.956308844,1.569416570,3.023954721
MELEE_ATTACK,55,3,1.175353373,0.823205056,1.059625344,1.204191474
MELEE_ATTACK,56,2,1.294312407,2.759661179,2.905504113,3.059054574
MELEE_ATTACK,68,406,0.952483514,0.591278185,0.941947630,1.421424016
MELEE_ATTACK,69,5,1.144977246,0.919213458,0.968948683,1.037356259
MELEE_ATTACK,70,61,1.115262372,0.570493336,1.090662922,2.533177050
MELEE_ATTACK,71,62,1.307238919,0.744223711,1.346094794,1.742924689
MELEE_ATTACK,72,2,1.200724015,0.923238508,1.272525231,1.753956805
MELEE_ATTACK,73,44,1.793105302,1.400567799,2.157332675,4.164304261
MELEE_ATTACK,74,1,1.150520326,0.550000000,0.550000000,0.550000000
MELEE_ATTACK,75,18,1.162188188,0.885693772,1.128075621,1.432155572
MELEE_ATTACK,76,2,1.172720309,0.971719179,0.981590052,0.991561195
MELEE_ATTACK,77,2,1.126310178,0.527563964,0.629548703,0.751248372
MELEE_ATTACK,80,5,1.224163254,0.570323886,1.353671204,2.090967964
MELEE_ATTACK,81,1,1.181194456,0.955722640,0.955722640,0.955722640
MELEE_ATTACK,83,2,1.140118846,0.564433531,0.719850995,0.918062847
MELEE_ATTACK,89,5,1.235663255,1.181390128,1.418460205,2.765368115
MELEE_ATTACK,90,32,1.092634757,0.435863010,1.033823372,1.675431543
MELEE_ATTACK,91,31,1.046291881,0.615058324,0.960960961,1.118012422
MELEE_ATTACK,92,49,1.377703345,0.875953372,1.460688759,2.885196022
MELEE_ATTACK,93,10,1.300173893,1.185636557,1.542277675,2.575985341
MELEE_ATTACK,94,2,1.145528273,0.750154792,0.758324660,0.766583505
MELEE_ATTACK,100,108,1.686082504,0.848711721,1.797416863,3.392381911
MELEE_ATTACK,101,93,1.458584826,0.830088361,1.522802897,2.613550358
MELEE_ATTACK,102,4,1.087410682,0.527908009,0.681957310,0.956177064
MELEE_ATTACK,103,36,1.181735141,0.767866968,1.175101289,2.270099230
MELEE_ATTACK,105,6,1.262787961,1.068490265,1.522984988,1.642195669
MELEE_ATTACK,106,2,1.260056495,1.696608338,2.163124057,2.757917416
MELEE_ATTACK,107,1,1.179785623,0.932067932,0.932067932,0.932067932
MELEE_ATTACK,108,15,0.980791183,0.653165279,0.754716981,0.883006154
