scope,spell_id,spell_name,actor_creature_id,target_creature_id,samples,median_damage
S,432674947,icebolt,0,0,41,94.000000
S,2189341129,lighting,0,0,256,561.000000
S,1762755373,magicarrow,0,0,15,214.000000
S,2077100434,magicfist,0,0,97,72.000000
S,15153311,swarm,0,0,92,240.000000
SA,432674947,icebolt,54,0,3,94.000000
SA,432674947,icebolt,65,0,7,74.000000
SA,432674947,icebolt,126,0,9,170.000000
SA,432674947,icebolt,156,0,7,132.000000
SA,432674947,icebolt,438,0,1,228.000000
SA,432674947,icebolt,622,0,1,93.000000
SA,432674947,icebolt,676,0,3,60.000000
SA,432674947,icebolt,1174,0,7,68.000000
SA,432674947,icebolt,1215,0,1,135.000000
SA,432674947,icebolt,1253,0,1,78.000000
SA,432674947,icebolt,1437,0,1,86.000000
SA,2189341129,lighting,65,0,2,783.166667
SA,2189341129,lighting,120,0,12,58.000000
SA,2189341129,lighting,125,0,9,96.000000
SA,2189341129,lighting,411,0,10,286.000000
SA,2189341129,lighting,412,0,4,294.500000
SA,2189341129,lighting,431,0,9,503.000000
SA,2189341129,lighting,438,0,20,369.000000
SA,2189341129,lighting,439,0,1,302.000000
SA,2189341129,lighting,622,0,105,687.000000
SA,2189341129,lighting,623,0,12,1133.000000
SA,2189341129,lighting,738,0,2,54.000000
SA,2189341129,lighting,1205,0,2,444.000000
SA,2189341129,lighting,1207,0,16,561.000000
SA,2189341129,lighting,1208,0,2,913.000000
SA,2189341129,lighting,1212,0,8,588.000000
SA,2189341129,lighting,1215,0,2,57.000000
SA,2189341129,lighting,1235,0,1,75.000000
SA,2189341129,lighting,1258,0,2,259.000000
SA,2189341129,lighting,1268,0,20,913.000000
SA,2189341129,lighting,1327,0,6,167.000000
SA,2189341129,lighting,1361,0,5,14.000000
SA,2189341129,lighting,1433,0,6,610.500000
SA,1762755373,magicarrow,896,0,9,448.000000
SA,1762755373,magicarrow,1174,0,1,59.000000
SA,1762755373,magicarrow,1259,0,1,829.000000
SA,1762755373,magicarrow,1347,0,3,48.000000
SA,1762755373,magicarrow,1356,0,1,30.000000
SA,2077100434,magicfist,16,0,11,319.000000
SA,2077100434,magicfist,48,0,7,203.000000
SA,2077100434,magicfist,58,0,1,329.000000
SA,2077100434,magicfist,104,0,6,124.000000
SA,2077100434,magicfist,505,0,1,36.000000
SA,2077100434,magicfist,578,0,8,174.000000
SA,2077100434,magicfist,633,0,39,70.000000
SA,2077100434,magicfist,634,0,12,61.500000
SA,2077100434,magicfist,676,0,1,63.000000
SA,2077100434,magicfist,1040,0,3,182.000000
SA,2077100434,magicfist,1203,0,1,180.000000
SA,2077100434,magicfist,1206,0,2,22.000000
SA,2077100434,magicfist,1262,0,5,28.000000
SA,15153311,swarm,31,0,3,53.000000
SA,15153311,swarm,58,0,44,240.000000
SA,15153311,swarm,63,0,2,30.000000
SA,15153311,swarm,504,0,1,30.000000
SA,15153311,swarm,517,0,31,240.000000
SA,15153311,swarm,633,0,4,10.500000
SA,15153311,swarm,634,0,1,14.000000
SA,15153311,swarm,1203,0,2,55.000000
SA,15153311,swarm,1208,0,1,30.000000
SA,15153311,swarm,1268,0,3,20.000000
SAT,432674947,icebolt,54,522,1,94.000000
SAT,432674947,icebolt,54,1004,1,94.000000
SAT,432674947,icebolt,54,1060,1,94.000000
SAT,432674947,icebolt,65,17,1,85.000000
SAT,432674947,icebolt,65,68,1,74.000000
SAT,432674947,icebolt,65,255,1,85.000000
SAT,432674947,icebolt,65,285,3,74.000000
SAT,432674947,icebolt,65,1060,1,74.000000
SAT,432674947,icebolt,126,28,1,1259.000000
SAT,432674947,icebolt,126,68,1,1259.000000
SAT,432674947,icebolt,126,146,1,1259.000000
SAT,432674947,icebolt,126,612,1,170.000000
SAT,432674947,icebolt,126,644,1,170.000000
SAT,432674947,icebolt,126,649,1,152.000000
SAT,432674947,icebolt,126,849,1,170.000000
SAT,432674947,icebolt,126,1114,2,116.000000
SAT,432674947,icebolt,156,314,4,171.000000
SAT,432674947,icebolt,156,320,1,104.000000
SAT,432674947,icebolt,156,433,2,183.000000
SAT,432674947,icebolt,438,167,1,228.000000
SAT,432674947,icebolt,622,993,1,93.000000
SAT,432674947,icebolt,676,261,3,60.000000
SAT,432674947,icebolt,1174,121,5,68.000000
SAT,432674947,icebolt,1174,239,2,68.000000
SAT,432674947,icebolt,1215,851,1,135.000000
SAT,432674947,icebolt,1253,391,1,78.000000
SAT,432674947,icebolt,1437,68,1,86.000000
SAT,2189341129,lighting,65,203,1,841.333333
SAT,2189341129,lighting,65,208,1,725.000000
SAT,2189341129,lighting,120,123,6,58.000000
SAT,2189341129,lighting,120,124,2,56.000000
SAT,2189341129,lighting,120,1282,4,58.000000
SAT,2189341129,lighting,125,72,5,96.000000
SAT,2189341129,lighting,125,165,3,84.000000
SAT,2189341129,lighting,125,168,1,84.000000
SAT,2189341129,lighting,411,28,2,286.000000
SAT,2189341129,lighting,411,42,1,282.000000
SAT,2189341129,lighting,411,117,1,282.000000
SAT,2189341129,lighting,411,118,1,290.000000
SAT,2189341129,lighting,411,311,1,276.000000
SAT,2189341129,lighting,411,318,1,296.000000
