action_type,role,ability_code,samples,log_coefficient,multiplier
MELEE_ATTACK,actor,acid_breath,145,0.015017863,1.015131198
MELEE_ATTACK,actor,agility,60,0.009045137,1.009086168
MELEE_ATTACK,actor,alive,11174,0.048123894,1.049300649
MELEE_ATTACK,actor,allslash,27,-0.024050720,0.976236193
MELEE_ATTACK,actor,amphibian,501,-0.002378561,0.997624266
MELEE_ATTACK,actor,armorpiercing,90,-0.005240875,0.994772834
MELEE_ATTACK,actor,armoured,285,0.072518182,1.075212355
MELEE_ATTACK,actor,assault,369,0.072374808,1.075058209
MELEE_ATTACK,actor,attentive,20,0.018425100,1.018595890
MELEE_ATTACK,actor,auraofbravery,60,0.039949841,1.040758569
MELEE_ATTACK,actor,auraofres,181,0.010980734,1.011041243
MELEE_ATTACK,actor,balefulgaze,123,-0.003256515,0.996748782
MELEE_ATTACK,actor,battledive,54,0.041272791,1.042136352
MELEE_ATTACK,actor,battlefrenzy,43,0.012176532,1.012250968
MELEE_ATTACK,actor,bearroar,40,0.024312059,1.024610007
MELEE_ATTACK,actor,berserkerrage,172,0.064635631,1.066770256
MELEE_ATTACK,actor,big,6380,0.032000597,1.032518122
MELEE_ATTACK,actor,bladeofhatred,50,-0.047365483,0.953738758
MELEE_ATTACK,actor,bladeofjudgment,34,-0.065333542,0.936754965
MELEE_ATTACK,actor,blindedbyrage,50,-0.047365483,0.953738758
MELEE_ATTACK,actor,blinding_attack,501,-0.029800578,0.970639081
MELEE_ATTACK,actor,blindingcharge,26,0.001491187,1.001492299
MELEE_ATTACK,actor,bloodfrenzy,34,-0.021632606,0.978599700
MELEE_ATTACK,actor,bloodlust,401,0.011123125,1.011185217
MELEE_ATTACK,actor,boundlesshate,29,-0.031297909,0.969186800
MELEE_ATTACK,actor,bravery,311,-0.015784346,0.984339574
MELEE_ATTACK,actor,brittle,24,0.013021853,1.013107006
MELEE_ATTACK,actor,burningfootsteps,44,-0.001880453,0.998121314
MELEE_ATTACK,actor,burstofenergy,62,0.008798050,1.008836867
MELEE_ATTACK,actor,carrier,487,0.060341921,1.062199672
MELEE_ATTACK,actor,caster,1144,-0.002734247,0.997269487
MELEE_ATTACK,actor,challenge,121,0.025118292,1.025436414
MELEE_ATTACK,actor,championcharge,77,-0.034134078,0.966441917
MELEE_ATTACK,actor,charge,39,-0.013231267,0.986855881
MELEE_ATTACK,actor,childofthelight,268,-0.018380870,0.981787028
MELEE_ATTACK,actor,cleansinglight,51,-0.016851731,0.983289466
MELEE_ATTACK,actor,cleave,338,0.042436304,1.043349597
MELEE_ATTACK,actor,commandingpresence,54,-0.230376940,0.794234167
MELEE_ATTACK,actor,confusionstrike,28,0.010639765,1.010696569
MELEE_ATTACK,actor,corpseeater,35,-0.001049116,0.998951434
MELEE_ATTACK,actor,cowardice,25,0.072442847,1.075131357
MELEE_ATTACK,actor,crashingleap,62,0.030471595,1.030940606
