action_type,role,ability_code,samples,log_coefficient,multiplier
MELEE_ATTACK,actor,acid_breath,145,0.020755142,1.020972028
MELEE_ATTACK,actor,agility,60,0.007218182,1.007244295
MELEE_ATTACK,actor,alive,11174,0.046866493,1.047982086
MELEE_ATTACK,actor,allslash,27,-0.027010710,0.973350817
MELEE_ATTACK,actor,amphibian,501,-0.005174901,0.994838465
MELEE_ATTACK,actor,armorpiercing,90,-0.004767569,0.995243778
MELEE_ATTACK,actor,armoured,285,0.061092207,1.062996926
MELEE_ATTACK,actor,assault,369,0.073659641,1.076440366
MELEE_ATTACK,actor,attentive,20,0.014691622,1.014800074
MELEE_ATTACK,actor,auraofbravery,60,0.039480484,1.040270197
MELEE_ATTACK,actor,auraofres,181,0.018275417,1.018443435
MELEE_ATTACK,actor,balefulgaze,123,-0.004324547,0.995684790
MELEE_ATTACK,actor,battledive,54,0.042093617,1.042992116
MELEE_ATTACK,actor,battlefrenzy,43,0.009738733,1.009786308
MELEE_ATTACK,actor,bearroar,40,0.012510680,1.012589266
MELEE_ATTACK,actor,berserkerrage,172,0.064339343,1.066454232
MELEE_ATTACK,actor,big,6380,0.035795082,1.036443439
MELEE_ATTACK,actor,bladeofhatred,50,-0.047777524,0.953345860
MELEE_ATTACK,actor,bladeofjudgment,34,-0.068818375,0.933496211
MELEE_ATTACK,actor,blindedbyrage,50,-0.047777524,0.953345860
MELEE_ATTACK,actor,blinding_attack,501,-0.020796355,0.979418398
MELEE_ATTACK,actor,blindingcharge,26,0.022084914,1.022330591
MELEE_ATTACK,actor,bloodfrenzy,34,-0.021317048,0.978908555
MELEE_ATTACK,actor,bloodlust,401,0.028969167,1.029392855
MELEE_ATTACK,actor,boundlesshate,29,-0.031907106,0.968596555
MELEE_ATTACK,actor,bravery,311,-0.014194404,0.985905862
MELEE_ATTACK,actor,brittle,24,0.008616786,1.008654018
MELEE_ATTACK,actor,burningfootsteps,44,-0.003954660,0.996053150
MELEE_ATTACK,actor,burstofenergy,62,0.012675581,1.012756256
MELEE_ATTACK,actor,carrier,487,0.061262858,1.063178342
MELEE_ATTACK,actor,caster,1144,0.002758246,1.002762054
MELEE_ATTACK,actor,challenge,121,0.027280495,1.027656015
MELEE_ATTACK,actor,championcharge,77,-0.032684053,0.967844299
MELEE_ATTACK,actor,charge,39,-0.019656773,0.980535161
MELEE_ATTACK,actor,childofthelight,268,-0.015326013,0.984790832
MELEE_ATTACK,actor,cleansinglight,51,-0.016855232,0.983286023
MELEE_ATTACK,actor,cleave,338,0.053387056,1.054837847
MELEE_ATTACK,actor,commandingpresence,54,-0.233027541,0.792131757
MELEE_ATTACK,actor,confusionstrike,28,0.008464291,1.008500214
MELEE_ATTACK,actor,corpseeater,35,-0.007508446,0.992519672
MELEE_ATTACK,actor,cowardice,25,0.067258146,1.069571548
MELEE_ATTACK,actor,crashingleap,62,0.029653788,1.030097840
MELEE_ATTACK,actor,cripplingtraps,34,-0.005874894,0.994142330
MELEE_ATTACK,actor,cripplingwound,256,0.007338798,1.007365793
MELEE_ATTACK,actor,crushblow,52,0.017097570,1.017244570
MELEE_ATTACK,actor,cursingattack,477,-0.011898722,0.988171788
MELEE_ATTACK,actor,dancecombo,108,-0.035728214,0.964902505
MELEE_ATTACK,actor,darkattack,86,0.008574308,1.008611173
MELEE_ATTACK,actor,dash,22,-0.001272702,0.998728107
MELEE_ATTACK,actor,deadflesh,34,-0.025922818,0.974410293
MELEE_ATTACK,actor,deathattack,29,-0.016066053,0.984062318
MELEE_ATTACK,actor,deathcloud,40,-0.022003429,0.978236881
MELEE_ATTACK,actor,deathstare,420,0.059023217,1.060799869
MELEE_ATTACK,actor,deathwail,168,-0.077119431,0.925779280
MELEE_ATTACK,actor,defender,30,0.006353214,1.006373438
MELEE_ATTACK,actor,demonic,253,-0.053485341,0.947919836
MELEE_ATTACK,actor,demoniclineage,154,0.037394371,1.038102338
MELEE_ATTACK,actor,doublestrike,261,-0.008596171,0.991440671
MELEE_ATTACK,actor,dualforms,123,-0.004324547,0.995684790
MELEE_ATTACK,actor,eaterofdarkness,31,0.031289915,1.031784590
MELEE_ATTACK,actor,eateroflight,44,-0.022912551,0.977347948
MELEE_ATTACK,actor,eclipse,47,0.002601447,1.002604833
MELEE_ATTACK,actor,elemental,417,-0.000839027,0.999161325
MELEE_ATTACK,actor,endurance,33,-0.003326424,0.996679103
MELEE_ATTACK,actor,enraged,1562,0.029268968,1.029701514
MELEE_ATTACK,actor,entrenchment,22,-0.005605663,0.994410019
MELEE_ATTACK,actor,entroots,191,0.004151010,1.004159638
MELEE_ATTACK,actor,evileye,34,-0.043322093,0.957602903
MELEE_ATTACK,actor,explodingspikes,29,-0.015126830,0.984987006
MELEE_ATTACK,actor,eyeofgluttony,54,0.003299422,1.003304871
MELEE_ATTACK,actor,fearattack,117,0.002846951,1.002851008
MELEE_ATTACK,actor,ferociouswound,249,-0.012242360,0.987832273
MELEE_ATTACK,actor,festeringaura,108,0.019915054,1.020114682
MELEE_ATTACK,actor,fierceretaliation,48,0.071236838,1.073835521
MELEE_ATTACK,actor,fire_breath,266,0.047614512,1.048766291
MELEE_ATTACK,actor,fireattack,223,-0.023104241,0.977160619
MELEE_ATTACK,actor,fireproof25,149,0.023274752,1.023547723
MELEE_ATTACK,actor,fireproof50,46,0.011367954,1.011432815
MELEE_ATTACK,actor,fireprskin,311,0.016757855,1.016899055
MELEE_ATTACK,actor,fireshield,66,0.013080486,1.013166410
MELEE_ATTACK,actor,flamestrike,53,0.005522688,1.005537967
MELEE_ATTACK,actor,flamewave,53,0.005522688,1.005537967
MELEE_ATTACK,actor,flyer,5303,-0.019245809,0.980938209
MELEE_ATTACK,actor,fourwaves,57,0.022950216,1.023215599
MELEE_ATTACK,actor,frightful_aura,338,0.019041549,1.019223996
MELEE_ATTACK,actor,goblinthrower,86,-0.026224523,0.974116354
MELEE_ATTACK,actor,hailstormaura,69,0.036628633,1.037307727
MELEE_ATTACK,actor,harmtouch,216,-0.020471055,0.979737055
MELEE_ATTACK,actor,hatefulretaliation,50,-0.047777524,0.953345860
MELEE_ATTACK,actor,heal6,20,0.000265633,1.000265668
MELEE_ATTACK,actor,heavystep,36,-0.019216128,0.980967325
MELEE_ATTACK,actor,hexingattack,90,0.019012753,1.019194646
MELEE_ATTACK,actor,hidden,605,0.027441064,1.027821037
MELEE_ATTACK,actor,holdground,26,0.006210055,1.006229378
MELEE_ATTACK,actor,hollowbones,236,0.014102265,1.014202171
MELEE_ATTACK,actor,iair,41,-0.028232222,0.972162583
MELEE_ATTACK,actor,iblind,186,-0.000127458,0.999872550
MELEE_ATTACK,actor,icedbreath,290,0.042708661,1.043633800
MELEE_ATTACK,actor,icold,108,-0.009836341,0.990211877
MELEE_ATTACK,actor,iearth,172,0.002321660,1.002324357
MELEE_ATTACK,actor,ifire,514,0.061004018,1.062903185
MELEE_ATTACK,actor,ifrenzy,56,0.044397373,1.045397686
MELEE_ATTACK,actor,ignoreattack20,53,0.037950396,1.038679709
MELEE_ATTACK,actor,ignoreattack40,89,0.026773849,1.027135489
MELEE_ATTACK,actor,ignoredefence20,136,0.031519784,1.032021793
MELEE_ATTACK,actor,ignoredefence30,42,0.013004802,1.013089732
MELEE_ATTACK,actor,ignoredefence40,255,0.066000634,1.068227395
MELEE_ATTACK,actor,ignoredefence60,92,0.037819417,1.038543672
MELEE_ATTACK,actor,ilighting,155,0.040048669,1.040861431
MELEE_ATTACK,actor,imind,291,0.036988296,1.037680876
MELEE_ATTACK,actor,immaterial,269,0.043797428,1.044770692
MELEE_ATTACK,actor,immunetoweakness,152,0.036928132,1.037618447
MELEE_ATTACK,actor,immunity,120,-0.021068311,0.979152076
MELEE_ATTACK,actor,impervioustopain,50,0.010354097,1.010407886
MELEE_ATTACK,actor,incinerate,28,0.035967694,1.036622357
MELEE_ATTACK,actor,incorporeal,631,0.052053636,1.053432242
MELEE_ATTACK,actor,invisibility,102,0.032481786,1.033015078
MELEE_ATTACK,actor,islow,57,0.028502252,1.028912328
MELEE_ATTACK,actor,jousting,165,-0.040091383,0.960701643
