side,creature_id,samples,MOVE,MELEE_ATTACK,RANGED_ATTACK,WAIT,DEFEND,HERO_ACTION,CAST_OR_ABILITY,ABILITY,ATTACK
PLAYER,6,38,0.011764706,0.011764706,0.011764706,0.082352941,0.035294118,0.811764706,0.011764706,0.011764706,0.011764706
PLAYER,14,15,0.282051282,0.538461538,0.025641026,0.025641026,0.025641026,0.025641026,0.025641026,0.025641026,0.025641026
PLAYER,18,15,0.230769231,0.538461538,0.025641026,0.076923077,0.025641026,0.025641026,0.025641026,0.025641026,0.025641026
PLAYER,28,644,0.033153431,0.159599075,0.777949113,0.006939090,0.014649190,0.000771010,0.000771010,0.005397070,0.000771010
PLAYER,30,27,0.301587302,0.301587302,0.015873016,0.111111111,0.047619048,0.015873016,0.015873016,0.174603175,0.015873016
PLAYER,31,525,0.237016053,0.457979226,0.000944287,0.231350331,0.063267233,0.000944287,0.006610009,0.000944287,0.000944287
PLAYER,33,41,0.010989011,0.538461538,0.010989011,0.230769231,0.010989011,0.010989011,0.010989011,0.164835165,0.010989011
PLAYER,37,8,0.040000000,0.040000000,0.440000000,0.040000000,0.280000000,0.040000000,0.040000000,0.040000000,0.040000000
PLAYER,38,22,0.094339623,0.433962264,0.018867925,0.283018868,0.094339623,0.018867925,0.018867925,0.018867925,0.018867925
PLAYER,40,145,0.183946488,0.612040134,0.003344482,0.036789298,0.137123746,0.003344482,0.003344482,0.016722408,0.003344482
PLAYER,41,246,0.241516966,0.425149701,0.001996008,0.277445110,0.029940120,0.001996008,0.001996008,0.017964072,0.001996008
PLAYER,42,69,0.006802721,0.047619048,0.904761905,0.006802721,0.006802721,0.006802721,0.006802721,0.006802721,0.006802721
PLAYER,43,228,0.002150538,0.522580645,0.002150538,0.359139785,0.027956989,0.002150538,0.002150538,0.079569892,0.002150538
PLAYER,44,34,0.090909091,0.506493506,0.012987013,0.012987013,0.246753247,0.012987013,0.012987013,0.090909091,0.012987013
PLAYER,48,86,0.005524862,0.005524862,0.005524862,0.016574586,0.005524862,0.944751381,0.005524862,0.005524862,0.005524862
PLAYER,53,471,0.076761304,0.869610936,0.001051525,0.045215563,0.003154574,0.001051525,0.001051525,0.001051525,0.001051525
PLAYER,54,38,0.011764706,0.011764706,0.011764706,0.058823529,0.011764706,0.858823529,0.011764706,0.011764706,0.011764706
PLAYER,56,3,0.066666667,0.333333333,0.200000000,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667,0.066666667
PLAYER,57,52,0.008849558,0.008849558,0.008849558,0.026548673,0.008849558,0.911504425,0.008849558,0.008849558,0.008849558
PLAYER,58,412,0.001200480,0.001200480,0.001200480,0.015606242,0.001200480,0.975990396,0.001200480,0.001200480,0.001200480
PLAYER,59,5,0.052631579,0.052631579,0.052631579,0.052631579,0.052631579,0.578947368,0.052631579,0.052631579,0.052631579
PLAYER,60,12,0.030303030,0.030303030,0.030303030,0.030303030,0.030303030,0.757575758,0.030303030,0.030303030,0.030303030
PLAYER,63,62,0.007518797,0.007518797,0.007518797,0.007518797,0.007518797,0.939849624,0.007518797,0.007518797,0.007518797
PLAYER,64,18,0.022222222,0.022222222,0.022222222,0.066666667,0.022222222,0.777777778,0.022222222,0.022222222,0.022222222
PLAYER,65,74,0.006369427,0.006369427,0.006369427,0.019108280,0.006369427,0.936305732,0.006369427,0.006369427,0.006369427
PLAYER,68,727,0.257689679,0.542036910,0.000683527,0.111414901,0.048530417,0.000683527,0.000683527,0.037593985,0.000683527
PLAYER,70,166,0.173020528,0.360703812,0.002932551,0.272727273,0.173020528,0.002932551,0.002932551,0.008797654,0.002932551
PLAYER,71,81,0.263157895,0.614035088,0.005847953,0.052631579,0.005847953,0.005847953,0.005847953,0.040935673,0.005847953
PLAYER,72,498,0.030845771,0.004975124,0.920398010,0.032835821,0.006965174,0.000995025,0.000995025,0.000995025,0.000995025
PLAYER,73,320,0.004622496,0.140215716,0.710323575,0.097072419,0.007704160,0.001540832,0.001540832,0.035439137,0.001540832
